Image,Sigma,PSNR,SSIM
01.png,15,31.87,0.8984
01.png,25,29.33,0.8434
01.png,35,27.52,0.8011
01.png,50,25.36,0.7465
02.png,15,34.93,0.8870
02.png,25,33.00,0.8560
02.png,35,31.41,0.8343
02.png,50,29.38,0.8040
03.png,15,32.70,0.9119
03.png,25,30.22,0.8720
03.png,35,28.31,0.8354
03.png,50,26.43,0.7948
04.png,15,31.19,0.9103
04.png,25,28.63,0.8580
04.png,35,26.89,0.8173
04.png,50,24.74,0.7523
05.png,15,31.94,0.9411
05.png,25,29.41,0.9085
05.png,35,27.87,0.8742
05.png,50,25.83,0.8220
06.png,15,31.07,0.9036
06.png,25,28.41,0.8586
06.png,35,26.89,0.8260
06.png,50,24.87,0.7740
07.png,15,31.41,0.8994
07.png,25,28.88,0.8524
07.png,35,27.11,0.8134
07.png,50,25.01,0.7583
08.png,15,34.25,0.8988
08.png,25,32.06,0.8619
08.png,35,30.56,0.8309
08.png,50,28.74,0.7890
09.png,15,33.01,0.9250
09.png,25,30.62,0.8886
09.png,35,28.93,0.8486
09.png,50,26.75,0.7824
10.png,15,32.12,0.8605
10.png,25,29.83,0.8033
10.png,35,28.32,0.7583
10.png,50,26.44,0.6894
11.png,15,31.92,0.8736
11.png,25,29.60,0.8078
11.png,35,28.18,0.7575
11.png,50,26.74,0.6979
12.png,15,32.08,0.8790
12.png,25,29.68,0.8202
12.png,35,27.94,0.7624
12.png,50,26.07,0.6888
